Date,BCH-USD,BTC-USD,LEO-USD,STETH-USD
2023-07-27,244.65963745117188,29210.689453125,3.999100923538208,1857.0523681640625
2023-07-28,241.77761840820312,29319.24609375,3.994359016418457,1872.7401123046875
2023-07-29,242.0587921142578,29356.91796875,3.9799089431762695,1874.4306640625
2023-07-30,252.8351287841797,29275.30859375,3.9760220050811768,1858.942626953125
2023-07-31,248.18545532226562,29230.111328125,3.9519500732421875,1852.285400390625
2023-08-01,244.7663116455078,29675.732421875,3.966434955596924,1864.349609375
2023-08-02,228.94781494140625,29151.958984375,3.965121030807495,1834.350341796875
2023-08-03,225.4103240966797,29178.6796875,4.025310039520264,1825.91455078125
2023-08-04,227.18479919433594,29074.091796875,4.0684309005737305,1821.09619140625
2023-08-05,226.7115936279297,29042.126953125,4.004055976867676,1831.7174072265625
2023-08-06,222.56349182128906,29041.85546875,3.994554042816162,1822.669677734375
2023-08-07,237.73924255371094,29180.578125,3.9786250591278076,1822.1748046875
2023-08-08,239.6984405517578,29765.4921875,4.019924163818359,1853.017578125
2023-08-09,238.32643127441406,29561.494140625,4.0077128410339355,1848.99755859375
2023-08-10,231.9976043701172,29429.591796875,3.951474905014038,1848.3572998046875
2023-08-11,228.98910522460938,29397.71484375,3.954119920730591,1845.3572998046875
2023-08-12,228.5760498046875,29415.96484375,3.9727420806884766,1845.4747314453125
2023-08-13,228.3480682373047,29282.9140625,3.991692066192627,1838.93798828125
2023-08-14,230.12991333007812,29408.443359375,3.985450029373169,1841.2667236328125
2023-08-15,228.54771423339844,29170.34765625,3.943639039993286,1816.7620849609375
2023-08-16,207.95086669921875,28701.779296875,3.9715049266815186,1803.01220703125
2023-08-17,184.4539794921875,26664.55078125,3.9322829246520996,1686.0723876953125
2023-08-18,187.28445434570312,26049.556640625,3.9345550537109375,1664.88720703125
2023-08-19,186.96714782714844,26096.205078125,3.8770499229431152,1667.64892578125
2023-08-20,188.9172821044922,26189.583984375,3.876863956451416,1684.1070556640625
2023-08-21,186.077392578125,26124.140625,3.802345037460327,1670.20361328125
2023-08-22,184.73858642578125,26031.65625,3.81394100189209,1632.51611328125
2023-08-23,193.66152954101562,26431.640625,3.880064010620117,1678.3489990234375
2023-08-24,194.4614715576172,26162.373046875,3.8271219730377197,1660.955322265625
2023-08-25,192.05203247070312,26047.66796875,3.8363609313964844,1651.3486328125
2023-08-26,190.15110778808594,26008.462890625,3.8311779499053955,1642.0223388671875
2023-08-27,198.01083374023438,26089.693359375,3.827299118041992,1655.961669921875
2023-08-28,190.41270446777344,26106.150390625,3.7983269691467285,1651.6827392578125
2023-08-29,224.17674255371094,27727.392578125,3.927903890609741,1724.9681396484375
2023-08-30,215.93649291992188,27297.265625,3.8914520740509033,1698.771484375
2023-08-31,207.48777770996094,25931.47265625,3.877656936645508,1646.8275146484375
2023-09-01,199.63319396972656,25800.724609375,3.8756320476531982,1621.645263671875
2023-09-02,195.1054229736328,25868.798828125,3.865341901779175,1631.856689453125
2023-09-03,196.30442810058594,25969.56640625,3.681122064590454,1632.09228515625
2023-09-04,193.5686492919922,25812.416015625,3.681473970413208,1625.146484375
2023-09-05,192.0220489501953,25779.982421875,3.689523935317993,1629.7603759765625
2023-09-06,193.0559844970703,25753.236328125,3.757572889328003,1627.883544921875
2023-09-07,193.3433074951172,26240.1953125,3.7592151165008545,1640.446533203125
2023-09-08,193.10623168945312,25905.654296875,3.8183629512786865,1633.2724609375
2023-09-09,193.10830688476562,25895.677734375,3.8205549716949463,1631.4508056640625
2023-09-10,190.58035278320312,25832.2265625,3.8426249027252197,1613.64404296875
2023-09-11,183.90966796875,25162.654296875,3.659740924835205,1551.2147216796875
2023-09-12,198.82443237304688,25833.34375,3.663022041320801,1591.501953125
2023-09-13,199.8748779296875,26228.32421875,3.666533946990967,1603.9122314453125
2023-09-14,207.90626525878906,26539.673828125,3.658953905105591,1622.6370849609375
2023-09-15,217.23646545410156,26608.693359375,3.6706490516662598,1640.1866455078125
2023-09-16,215.16744995117188,26568.28125,3.650067090988159,1635.1014404296875
2023-09-17,209.76336669921875,26534.1875,3.646754026412964,1621.7926025390625
2023-09-18,217.423828125,26754.28125,3.657896041870117,1635.220458984375
2023-09-19,219.08657836914062,27211.1171875,3.7496678829193115,1648.7420654296875
2023-09-20,215.49688720703125,27132.0078125,3.8366739749908447,1624.2265625
2023-09-21,208.66839599609375,26567.6328125,3.866636037826538,1591.66552734375
2023-09-22,207.82501220703125,26579.568359375,3.8751978874206543,1597.583740234375
2023-09-23,208.16177368164062,26579.390625,3.868612051010132,1594.6361083984375
2023-09-24,204.7707061767578,26256.826171875,3.6994760036468506,1581.4781494140625
2023-09-25,210.32069396972656,26298.48046875,3.7856290340423584,1587.6290283203125
2023-09-26,214.23219299316406,26217.25,3.641554117202759,1591.2493896484375
2023-09-27,228.83692932128906,26352.716796875,3.6532320976257324,1597.8560791015625
2023-09-28,239.1876983642578,27021.546875,3.635585069656372,1647.44677734375
2023-09-29,235.29722595214844,26911.720703125,3.649646043777466,1666.048583984375
2023-09-30,234.35104370117188,26967.916015625,3.65474009513855,1674.5517578125
2023-10-01,242.1915283203125,27983.75,3.6550679206848145,1733.534423828125
2023-10-02,246.634033203125,27530.78515625,3.6749579906463623,1664.80810546875
2023-10-03,230.07504272460938,27429.978515625,3.725728988647461,1656.0640869140625
2023-10-04,233.37852478027344,27799.39453125,3.764496088027954,1645.83056640625
2023-10-05,231.29092407226562,27415.912109375,3.766407012939453,1613.3587646484375
2023-10-06,230.99559020996094,27946.59765625,3.8481268882751465,1644.4603271484375
2023-10-07,230.31724548339844,27968.83984375,3.8344500064849854,1637.6317138671875
2023-10-08,228.08560180664062,27935.08984375,3.725182056427002,1633.6475830078125
2023-10-09,218.43971252441406,27583.677734375,3.6762468814849854,1578.0491943359375
2023-10-10,212.49974060058594,27391.01953125,3.7041099071502686,1572.8089599609375
2023-10-11,214.02792358398438,26873.3203125,3.697314977645874,1564.7640380859375
2023-10-12,213.98365783691406,26756.798828125,3.7042291164398193,1535.459716796875
2023-10-13,217.254150390625,26862.375,3.7263050079345703,1550.1580810546875
2023-10-14,214.63487243652344,26861.70703125,3.747044086456299,1553.911376953125
2023-10-15,215.15821838378906,27159.65234375,3.807008981704712,1558.4019775390625
2023-10-16,231.42636108398438,28519.466796875,3.684108018875122,1597.4044189453125
2023-10-17,226.79425048828125,28415.748046875,3.69576096534729,1566.6939697265625
2023-10-18,227.14825439453125,28328.341796875,3.7485129833221436,1564.764404296875
2023-10-19,227.4677276611328,28719.806640625,3.939697027206421,1567.143798828125
2023-10-20,240.6028289794922,29682.94921875,3.8585150241851807,1601.8211669921875
2023-10-21,243.60321044921875,29918.412109375,3.875761032104492,1630.875732421875
2023-10-22,243.489501953125,29993.896484375,3.896562099456787,1659.4005126953125
2023-10-23,260.6100769042969,33086.234375,3.8606419563293457,1759.348388671875
2023-10-24,251.6548309326172,33901.52734375,3.877976894378662,1786.2142333984375
2023-10-25,254.08761596679688,34502.8203125,4.0687408447265625,1785.6199951171875
2023-10-26,247.45997619628906,34156.6484375,3.9508230686187744,1801.263427734375
2023-10-27,239.43643188476562,33909.80078125,4.006318092346191,1772.94189453125
2023-10-28,244.94923400878906,34089.57421875,3.941051959991455,1774.29345703125
2023-10-29,246.32803344726562,34538.48046875,3.977013111114502,1792.4066162109375
2023-10-30,246.09274291992188,34502.36328125,3.943356990814209,1806.0228271484375
2023-10-31,244.8642578125,34667.78125,3.9550321102142334,1806.41943359375
2023-11-01,245.07037353515625,35437.25390625,3.9000120162963867,1838.17333984375
2023-11-02,235.52210998535156,34938.2421875,3.9293529987335205,1800.443603515625
2023-11-03,237.716064453125,34732.32421875,3.960361957550049,1826.4090576171875
2023-11-04,240.33096313476562,35082.1953125,3.972548007965088,1849.9713134765625
2023-11-05,238.23455810546875,35049.35546875,3.95500111579895,1887.8291015625
2023-11-06,242.87181091308594,35037.37109375,3.9682021141052246,1892.40869140625
2023-11-07,244.0255889892578,35443.5625,3.960076093673706,1876.697509765625
2023-11-08,245.68943786621094,35655.27734375,4.05592679977417,1884.7200927734375
2023-11-09,239.7634735107422,36693.125,4.072109222412109,2108.234619140625
2023-11-10,239.92774963378906,37313.96875,4.061893939971924,2076.2099609375
2023-11-11,236.4889678955078,37138.05078125,4.094483852386475,2048.6640625
2023-11-12,236.5060272216797,37054.51953125,4.153459072113037,2043.1392822265625
2023-11-13,234.7109832763672,36502.35546875,4.086493968963623,2050.70166015625
2023-11-14,231.65615844726562,35537.640625,4.067758083343506,1980.23681640625
2023-11-15,238.07025146484375,37880.58203125,4.075830936431885,2051.96826171875
2023-11-16,234.1369171142578,36154.76953125,4.040247917175293,1958.5146484375
2023-11-17,229.26284790039062,36596.68359375,4.087057113647461,1949.7022705078125
2023-11-18,227.48513793945312,36585.703125,4.07195520401001,1957.197021484375
2023-11-19,230.48040771484375,37386.546875,4.038247108459473,2000.017822265625
2023-11-20,226.49826049804688,37476.95703125,3.9663379192352295,2020.8978271484375
2023-11-21,217.1041717529297,35813.8125,3.9396450519561768,1944.662109375
2023-11-22,224.07984924316406,37432.33984375,4.058052062988281,2061.87939453125
2023-11-23,225.28274536132812,37289.62109375,4.089418888092041,2054.021240234375
2023-11-24,226.50843811035156,37720.28125,4.090913772583008,2079.364501953125
2023-11-25,227.51412963867188,37796.79296875,3.9725890159606934,2076.108154296875
2023-11-26,226.91014099121094,37479.12109375,3.9928700923919678,2058.10986328125
2023-11-27,223.3904266357422,37254.16796875,3.9804320335388184,2021.337646484375
2023-11-28,223.45953369140625,37831.0859375,3.902647018432617,2044.8040771484375
2023-11-29,223.29359436035156,37858.4921875,3.975188970565796,2027.640869140625
2023-11-30,221.5819091796875,37712.74609375,3.980276107788086,2045.652099609375
2023-12-01,225.21685791015625,38688.75,3.9730288982391357,2080.591796875
2023-12-02,228.1851348876953,39476.33203125,3.882498025894165,2158.363037109375
2023-12-03,230.08058166503906,39978.390625,3.688209056854248,2197.2197265625
2023-12-04,251.2904815673828,41980.09765625,3.7429730892181396,2236.026611328125
2023-12-05,251.51113891601562,44080.6484375,3.7218170166015625,2282.87744140625
2023-12-06,244.5463104248047,43746.4453125,3.7963790893554688,2227.767333984375
2023-12-07,246.98426818847656,43292.6640625,3.8265740871429443,2347.46533203125
2023-12-08,253.6110076904297,44166.6015625,3.7708399295806885,2348.760009765625
2023-12-09,252.7654571533203,43725.984375,3.7930328845977783,2331.83251953125
2023-12-10,250.95263671875,43779.69921875,3.804814100265503,2341.3037109375
2023-12-11,230.49122619628906,41243.83203125,3.938270092010498,2215.947509765625
2023-12-12,232.0464324951172,41450.22265625,3.7330150604248047,2193.415771484375
2023-12-13,235.4631805419922,42890.7421875,3.6772871017456055,2245.416748046875
2023-12-14,237.323974609375,43023.97265625,3.6557469367980957,2305.857177734375
2023-12-15,226.94537353515625,41929.7578125,3.708527088165283,2225.90966796875
2023-12-16,229.6128692626953,42240.1171875,3.749277114868164,2222.68994140625
2023-12-17,225.9416961669922,41364.6640625,3.7648580074310303,2201.246337890625
2023-12-18,227.93328857421875,42623.5390625,3.7718610763549805,2214.6279296875
2023-12-19,225.1953125,42270.52734375,3.835252046585083,2172.512939453125
2023-12-20,229.5563507080078,43652.25,3.9017059803009033,2187.77880859375
2023-12-21,233.1860809326172,43869.15234375,3.872431993484497,2231.69921875
2023-12-22,238.72718811035156,43997.90234375,3.9365859031677246,2318.610595703125
2023-12-23,233.23106384277344,43739.54296875,3.9725680351257324,2290.04736328125
2023-12-24,229.19573974609375,43016.1171875,3.9343628883361816,2264.35693359375
